"Site","Hostname","DiffComparisonMs","DiffDurationMs","LoadExistingMs","RowSetCount","Provider","ProviderReason"
"WLLS","WLLS-A02-AS-32","0","23.475","0.022","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A05-AS-55","0","25.372","0.022","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A01-AS-01","0","23.878","0.018","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A07-AS-07","0","25.277","0.023","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A03-AS-03","0","24.14","0.023","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A02-AS-12","0","21.942","0.024","48","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-02","0","4.087","0.014","10","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A05-AS-25","0","23.432","0.022","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A01-AS-21","0","24.391","0.024","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A05-AS-05","0","23.768","0.022","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A03-AS-13","0","23.858","0.023","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A01-AS-11","0","24.604","0.034","48","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-42","0","6.908","0.015","10","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-32","0","4.078","0.014","10","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-25","0","4.047","0.013","10","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-52","0","4.185","0.012","10","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A03-AS-43","0","23.668","0.02","48","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-45","0","6.505","0.013","10","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-12","0","4.048","0.013","10","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A05-AS-45","0","24.622","0.02","48","SharedCache","SharedCacheMatch"
