"Site","Hostname","DiffComparisonMs","DiffDurationMs","LoadExistingMs","RowSetCount","Provider","ProviderReason"
"WLLS","WLLS-A03-AS-33","0","23.002","0.022","48","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-12","0","4.55","0.015","10","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A05-AS-05","0","20.86","0.025","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A05-AS-35","0","22.518","0.022","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A02-AS-02","0","27.145","0.022","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A02-AS-22","0","28.403","0.024","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A01-AS-21","0","26.536","0.02","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A03-AS-03","0","31.563","0.024","48","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-55","0","4.266","0.016","10","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A01-AS-41","0","21.686","0.022","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A03-AS-23","0","23.544","0.02","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A01-AS-31","0","26.595","0.02","48","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-52","0","4.391","0.014","10","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A02-AS-12","0","24.975","0.025","48","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-25","0","4.208","0.014","10","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-02","0","7.352","0.015","10","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A01-AS-01","0","28.221","0.026","48","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-32","0","7.182","0.014","10","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A05-AS-15","0","22.605","0.024","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A03-AS-13","0","24.642","0.021","48","SharedCache","SharedCacheMatch"
