"Date","Scope","Metric","Count","Average","P95","Max","Total","SecondaryTotal","Notes"
"2025-12-05","All","DatabaseWriteLatencyMs","39","1143.769","1719.3","2098","44607",,
"2025-12-05","All","ParseDurationSeconds","39","1.281","1.84","2.195","49.965",,
"2025-12-05","All","RowsWritten","65",,,,"1294","10","UniqueHosts=41"
"2025-12-05","All","SiteCacheFetchDurationMs","2","816.458","847.499","850.948","1632.915",,"Statuses=Refreshed=2,SharedOnly=35,SkippedEmpty=28; Providers=Cache=8,Refreshed=2,SharedCache=35,Unknown=20; ZeroCount=63"
"2025-12-05","All","SkippedDuplicate","39",,,,"39",,"UniqueHosts=39"
"2025-12-05","All","UserAction","1",,,,,,"Action=ScanLogs"
"2025-12-05","All","UserAction","1",,,,,,"Action=LoadFromDb"
"2025-12-05","All","UserAction","8",,,,,,"Action=InterfacesView"
"2025-12-05","All","UserActionCoverage","3",,,,"6","HelpQuickstart,CompareView,SpanSnapshot","Missing=HelpQuickstart,CompareView,SpanSnapshot"
"2025-12-05","All","UserActionTotal","10",,,,,,
"2025-12-05","BOYO","DatabaseWriteLatencyMs","12","875.417","1317.75","1722","10505",,
"2025-12-05","BOYO","ParseDurationSeconds","12","1.057","1.79","1.836","12.687",,
"2025-12-05","BOYO","RowsWritten","12",,,,"120",,"UniqueHosts=12"
"2025-12-05","BOYO","SiteCacheFetchDurationMs","1","781.967","781.967","781.967","781.967",,"Statuses=Refreshed=1,SharedOnly=10,SkippedEmpty=1; Providers=Refreshed=1,SharedCache=10,Unknown=1; ZeroCount=11"
"2025-12-05","BOYO","SkippedDuplicate","12",,,,"12",,"UniqueHosts=12"
"2025-12-05","BOYO","UserAction","1",,,,,,"Action=LoadFromDb"
"2025-12-05","BOYO","UserAction","5",,,,,,"Action=InterfacesView"
"2025-12-05","BOYO","UserActionCoverage","2",,,,"6","ScanLogs,HelpQuickstart,CompareView,SpanSnapshot","Missing=ScanLogs,HelpQuickstart,CompareView,SpanSnapshot"
"2025-12-05","BOYO","UserActionTotal","6",,,,,,
"2025-12-05","SITE","DatabaseWriteLatencyMs","1","588","588","588","588",,
"2025-12-05","SITE","ParseDurationSeconds","1","0.845","0.845","0.845","0.845",,
"2025-12-05","SITE","RowsWritten","1",,,,"2",,"UniqueHosts=1"
"2025-12-05","SITE","SiteCacheFetchDurationMs","0","0","0","0","0",,"Statuses=SkippedEmpty=1; Providers=Unknown=1; ZeroCount=1"
"2025-12-05","SITE1","SkippedDuplicate","1",,,,"1",,"UniqueHosts=1"
"2025-12-05","SW1","DatabaseWriteLatencyMs","1","458","458","458","458",,
"2025-12-05","SW1","ParseDurationSeconds","1","0.584","0.584","0.584","0.584",,
"2025-12-05","SW1","RowsWritten","7",,,,"8",,"UniqueHosts=1"
"2025-12-05","SW1","SiteCacheFetchDurationMs","0","0","0","0","0",,"Statuses=SkippedEmpty=7; Providers=Unknown=7; ZeroCount=7"
"2025-12-05","SW1","SkippedDuplicate","1",,,,"1",,"UniqueHosts=1"
"2025-12-05","WLLS","DatabaseWriteLatencyMs","25","1322.24","1701.4","2098","33056",,
"2025-12-05","WLLS","ParseDurationSeconds","25","1.434","1.851","2.195","35.849",,
"2025-12-05","WLLS","RowsWritten","45",,,,"1164","10","UniqueHosts=28"
"2025-12-05","WLLS","SiteCacheFetchDurationMs","1","850.948","850.948","850.948","850.948",,"Statuses=Refreshed=1,SharedOnly=25,SkippedEmpty=19; Providers=Cache=8,Refreshed=1,SharedCache=25,Unknown=11; ZeroCount=44"
"2025-12-05","WLLS","SkippedDuplicate","25",,,,"25",,"UniqueHosts=25"
"2025-12-05","WLLS","UserAction","3",,,,,,"Action=InterfacesView"
"2025-12-05","WLLS","UserActionCoverage","1",,,,"6","ScanLogs,LoadFromDb,HelpQuickstart,CompareView,SpanSnapshot","Missing=ScanLogs,LoadFromDb,HelpQuickstart,CompareView,SpanSnapshot"
"2025-12-05","WLLS","UserActionTotal","3",,,,,,
"2025-12-06","All","RowsWritten","104",,,,"64","40","UniqueHosts=4"
"2025-12-06","All","SiteCacheFetchDurationMs","0","0","0","0","0",,"Statuses=SharedOnly=8,SkippedEmpty=96; Providers=Cache=32,SharedCache=8,Unknown=64; ZeroCount=104"
"2025-12-06","SW1","RowsWritten","24",,,,"24",,"UniqueHosts=1"
"2025-12-06","SW1","SiteCacheFetchDurationMs","0","0","0","0","0",,"Statuses=SkippedEmpty=24; Providers=Unknown=24; ZeroCount=24"
"2025-12-06","WLLS","RowsWritten","80",,,,"40","40","UniqueHosts=4"
"2025-12-06","WLLS","SiteCacheFetchDurationMs","0","0","0","0","0",,"Statuses=SharedOnly=8,SkippedEmpty=72; Providers=Cache=32,SharedCache=8,Unknown=40; ZeroCount=80"
"2025-12-08","All","DatabaseWriteLatencyMs","4","767","1085.25","1116","3068",,
"2025-12-08","All","ParseDurationSeconds","4","1.269","1.82","1.847","5.077",,
"2025-12-08","All","RowsWritten","56",,,,"56","20","UniqueHosts=6"
"2025-12-08","All","SiteCacheFetchDurationMs","0","0","0","0","0",,"Statuses=SharedOnly=4,SkippedEmpty=52; Providers=Cache=16,SharedCache=4,Unknown=36; ZeroCount=56"
"2025-12-08","All","UserAction","2",,,,,,"Action=ScanLogs"
"2025-12-08","All","UserAction","1",,,,,,"Action=LoadFromDb"
"2025-12-08","All","UserAction","9",,,,,,"Action=InterfacesView"
"2025-12-08","All","UserActionCoverage","3",,,,"6","HelpQuickstart,CompareView,SpanSnapshot","Missing=HelpQuickstart,CompareView,SpanSnapshot"
"2025-12-08","All","UserActionTotal","12",,,,,,
"2025-12-08","BOYO","DatabaseWriteLatencyMs","2","1013.5","1105.75","1116","2027",,
"2025-12-08","BOYO","ParseDurationSeconds","2","1.756","1.838","1.847","3.512",,
"2025-12-08","BOYO","RowsWritten","2",,,,"20",,"UniqueHosts=1"
"2025-12-08","BOYO","SiteCacheFetchDurationMs","0","0","0","0","0",,"Statuses=SkippedEmpty=2; Providers=Unknown=2; ZeroCount=2"
"2025-12-08","BOYO","UserAction","3",,,,,,"Action=InterfacesView"
"2025-12-08","BOYO","UserAction","1",,,,,,"Action=LoadFromDb"
"2025-12-08","BOYO","UserActionCoverage","2",,,,"6","ScanLogs,HelpQuickstart,CompareView,SpanSnapshot","Missing=ScanLogs,HelpQuickstart,CompareView,SpanSnapshot"
"2025-12-08","BOYO","UserActionTotal","4",,,,,,
"2025-12-08","SW1","RowsWritten","12",,,,"12",,"UniqueHosts=1"
"2025-12-08","SW1","SiteCacheFetchDurationMs","0","0","0","0","0",,"Statuses=SkippedEmpty=12; Providers=Unknown=12; ZeroCount=12"
"2025-12-08","WLLS","DatabaseWriteLatencyMs","2","520.5","529.05","530","1041",,
"2025-12-08","WLLS","ParseDurationSeconds","2","0.783","0.793","0.794","1.565",,
"2025-12-08","WLLS","RowsWritten","42",,,,"24","20","UniqueHosts=5"
"2025-12-08","WLLS","SiteCacheFetchDurationMs","0","0","0","0","0",,"Statuses=SharedOnly=4,SkippedEmpty=38; Providers=Cache=16,SharedCache=4,Unknown=22; ZeroCount=42"
"2025-12-08","WLLS","UserAction","6",,,,,,"Action=InterfacesView"
"2025-12-08","WLLS","UserActionCoverage","1",,,,"6","ScanLogs,LoadFromDb,HelpQuickstart,CompareView,SpanSnapshot","Missing=ScanLogs,LoadFromDb,HelpQuickstart,CompareView,SpanSnapshot"
"2025-12-08","WLLS","UserActionTotal","6",,,,,,
"2025-12-09","All","DatabaseWriteLatencyMs","6","742.167","1055.25","1099","4453",,
"2025-12-09","All","ParseDurationSeconds","6","1.305","1.949","2.012","7.828",,
"2025-12-09","All","RowsWritten","45",,,,"119","15","UniqueHosts=6"
"2025-12-09","All","SiteCacheFetchDurationMs","0","0","0","0","0",,"Statuses=SharedOnly=3,SkippedEmpty=42; Providers=Cache=12,SharedCache=3,Unknown=30; ZeroCount=45"
"2025-12-09","All","UserAction","4",,,,,,"Action=ScanLogs"
"2025-12-09","All","UserAction","7",,,,,,"Action=LoadFromDb"
"2025-12-09","All","UserAction","46",,,,,,"Action=InterfacesView"
"2025-12-09","All","UserActionCoverage","3",,,,"6","HelpQuickstart,CompareView,SpanSnapshot","Missing=HelpQuickstart,CompareView,SpanSnapshot"
"2025-12-09","All","UserActionTotal","57",,,,,,
"2025-12-09","BOYO","DatabaseWriteLatencyMs","3","948.333","1081.5","1099","2845",,
"2025-12-09","BOYO","ParseDurationSeconds","3","1.824","1.987","2.012","5.471",,
"2025-12-09","BOYO","RowsWritten","3",,,,"30",,"UniqueHosts=1"
"2025-12-09","BOYO","SiteCacheFetchDurationMs","0","0","0","0","0",,"Statuses=SkippedEmpty=3; Providers=Unknown=3; ZeroCount=3"
"2025-12-09","BOYO","UserAction","1",,,,,,"Action=LoadFromDb"
"2025-12-09","BOYO","UserAction","28",,,,,,"Action=InterfacesView"
"2025-12-09","BOYO","UserActionCoverage","2",,,,"6","ScanLogs,HelpQuickstart,CompareView,SpanSnapshot","Missing=ScanLogs,HelpQuickstart,CompareView,SpanSnapshot"
"2025-12-09","BOYO","UserActionTotal","29",,,,,,
"2025-12-09","SW1","RowsWritten","9",,,,"9",,"UniqueHosts=1"
"2025-12-09","SW1","SiteCacheFetchDurationMs","0","0","0","0","0",,"Statuses=SkippedEmpty=9; Providers=Unknown=9; ZeroCount=9"
"2025-12-09","WLLS","DatabaseWriteLatencyMs","3","536","548.2","550","1608",,
"2025-12-09","WLLS","ParseDurationSeconds","3","0.786","0.847","0.854","2.357",,
"2025-12-09","WLLS","RowsWritten","33",,,,"80","15","UniqueHosts=5"
"2025-12-09","WLLS","SiteCacheFetchDurationMs","0","0","0","0","0",,"Statuses=SharedOnly=3,SkippedEmpty=30; Providers=Cache=12,SharedCache=3,Unknown=18; ZeroCount=33"
"2025-12-09","WLLS","UserAction","1",,,,,,"Action=LoadFromDb"
"2025-12-09","WLLS","UserAction","18",,,,,,"Action=InterfacesView"
"2025-12-09","WLLS","UserActionCoverage","2",,,,"6","ScanLogs,HelpQuickstart,CompareView,SpanSnapshot","Missing=ScanLogs,HelpQuickstart,CompareView,SpanSnapshot"
"2025-12-09","WLLS","UserActionTotal","19",,,,,,
"2025-12-10","All","DatabaseWriteLatencyMs","18","7518.278","9217.9","9750","135329",,
"2025-12-10","All","ParseDurationSeconds","18","9.057","11.147","11.448","163.019",,
"2025-12-10","All","RowsWritten","265",,,,"398","95","UniqueHosts=6"
"2025-12-10","All","SiteCacheFetchDurationMs","0","0","0","0","0",,"Statuses=SharedOnly=19,SkippedEmpty=246; Providers=Cache=76,SharedCache=19,Unknown=170; ZeroCount=265"
"2025-12-10","All","SkippedDuplicate","8",,,,"2",,"UniqueHosts=2"
"2025-12-10","All","UserAction","12",,,,,,"Action=ScanLogs"
"2025-12-10","All","UserAction","16",,,,,,"Action=LoadFromDb"
"2025-12-10","All","UserAction","94",,,,,,"Action=InterfacesView"
"2025-12-10","All","UserActionCoverage","3",,,,"6","HelpQuickstart,CompareView,SpanSnapshot","Missing=HelpQuickstart,CompareView,SpanSnapshot"
"2025-12-10","All","UserActionTotal","122",,,,,,
"2025-12-10","BOYO","DatabaseWriteLatencyMs","9","7471.556","8967.8","9009","67244",,
"2025-12-10","BOYO","ParseDurationSeconds","9","9.28","11.031","11.094","83.523",,
"2025-12-10","BOYO","RowsWritten","9",,,,"90",,"UniqueHosts=1"
"2025-12-10","BOYO","SiteCacheFetchDurationMs","0","0","0","0","0",,"Statuses=SkippedEmpty=9; Providers=Unknown=9; ZeroCount=9"
"2025-12-10","BOYO","SkippedDuplicate","4",,,,"1",,"UniqueHosts=1"
"2025-12-10","BOYO","UserAction","1",,,,,,"Action=ScanLogs"
"2025-12-10","BOYO","UserAction","68",,,,,,"Action=InterfacesView"
"2025-12-10","BOYO","UserActionCoverage","2",,,,"6","LoadFromDb,HelpQuickstart,CompareView,SpanSnapshot","Missing=LoadFromDb,HelpQuickstart,CompareView,SpanSnapshot"
"2025-12-10","BOYO","UserActionTotal","69",,,,,,
"2025-12-10","SW1","RowsWritten","57",,,,"57",,"UniqueHosts=1"
"2025-12-10","SW1","SiteCacheFetchDurationMs","0","0","0","0","0",,"Statuses=SkippedEmpty=57; Providers=Unknown=57; ZeroCount=57"
"2025-12-10","WLLS","DatabaseWriteLatencyMs","9","7565","9499.6","9750","68085",,
"2025-12-10","WLLS","ParseDurationSeconds","9","8.833","11.081","11.448","79.496",,
"2025-12-10","WLLS","RowsWritten","199",,,,"251","95","UniqueHosts=5"
"2025-12-10","WLLS","SiteCacheFetchDurationMs","0","0","0","0","0",,"Statuses=SharedOnly=19,SkippedEmpty=180; Providers=Cache=76,SharedCache=19,Unknown=104; ZeroCount=199"
"2025-12-10","WLLS","SkippedDuplicate","4",,,,"1",,"UniqueHosts=1"
"2025-12-10","WLLS","UserAction","26",,,,,,"Action=InterfacesView"
"2025-12-10","WLLS","UserActionCoverage","1",,,,"6","ScanLogs,LoadFromDb,HelpQuickstart,CompareView,SpanSnapshot","Missing=ScanLogs,LoadFromDb,HelpQuickstart,CompareView,SpanSnapshot"
"2025-12-10","WLLS","UserActionTotal","26",,,,,,
"2025-12-11","All","DatabaseWriteLatencyMs","6","707.833","930","931","4247",,
"2025-12-11","All","ParseDurationSeconds","6","1.27","1.844","1.846","7.617",,
"2025-12-11","All","RowsWritten","258",,,,"330","96","UniqueHosts=6"
"2025-12-11","All","SiteCacheFetchDurationMs","0","0","0","0","0",,"Statuses=SharedOnly=19,SkippedEmpty=239; Providers=Cache=76,SharedCache=19,Unknown=163; ZeroCount=258"
"2025-12-11","All","SkippedDuplicate","2",,,,"2",,"UniqueHosts=2"
"2025-12-11","All","UserAction","6",,,,,,"Action=ScanLogs"
"2025-12-11","All","UserAction","27",,,,,,"Action=LoadFromDb"
"2025-12-11","All","UserAction","108",,,,,,"Action=InterfacesView"
"2025-12-11","All","UserActionCoverage","3",,,,"6","HelpQuickstart,CompareView,SpanSnapshot","Missing=HelpQuickstart,CompareView,SpanSnapshot"
"2025-12-11","All","UserActionTotal","141",,,,,,
"2025-12-11","BOYO","DatabaseWriteLatencyMs","3","887","930.6","931","2661",,
"2025-12-11","BOYO","ParseDurationSeconds","3","1.751","1.845","1.846","5.253",,
"2025-12-11","BOYO","RowsWritten","3",,,,"30",,"UniqueHosts=1"
"2025-12-11","BOYO","SiteCacheFetchDurationMs","0","0","0","0","0",,"Statuses=SkippedEmpty=3; Providers=Unknown=3; ZeroCount=3"
"2025-12-11","BOYO","SkippedDuplicate","1",,,,"1",,"UniqueHosts=1"
"2025-12-11","BOYO","UserAction","14",,,,,,"Action=LoadFromDb"
"2025-12-11","BOYO","UserAction","92",,,,,,"Action=InterfacesView"
"2025-12-11","BOYO","UserAction","2",,,,,,"Action=ScanLogs"
"2025-12-11","BOYO","UserActionCoverage","3",,,,"6","HelpQuickstart,CompareView,SpanSnapshot","Missing=HelpQuickstart,CompareView,SpanSnapshot"
"2025-12-11","BOYO","UserActionTotal","108",,,,,,
"2025-12-11","SW1","RowsWritten","60",,,,"60",,"UniqueHosts=1"
"2025-12-11","SW1","SiteCacheFetchDurationMs","0","0","0","0","0",,"Statuses=SkippedEmpty=60; Providers=Unknown=60; ZeroCount=60"
"2025-12-11","WLLS","DatabaseWriteLatencyMs","3","528.667","554.9","557","1586",,
"2025-12-11","WLLS","ParseDurationSeconds","3","0.788","0.822","0.825","2.364",,
"2025-12-11","WLLS","RowsWritten","195",,,,"240","96","UniqueHosts=5"
"2025-12-11","WLLS","SiteCacheFetchDurationMs","0","0","0","0","0",,"Statuses=SharedOnly=19,SkippedEmpty=176; Providers=Cache=76,SharedCache=19,Unknown=100; ZeroCount=195"
"2025-12-11","WLLS","SkippedDuplicate","1",,,,"1",,"UniqueHosts=1"
"2025-12-11","WLLS","UserAction","1",,,,,,"Action=LoadFromDb"
"2025-12-11","WLLS","UserAction","16",,,,,,"Action=InterfacesView"
"2025-12-11","WLLS","UserActionCoverage","2",,,,"6","ScanLogs,HelpQuickstart,CompareView,SpanSnapshot","Missing=ScanLogs,HelpQuickstart,CompareView,SpanSnapshot"
"2025-12-11","WLLS","UserActionTotal","17",,,,,,
"2025-12-12","All","DatabaseWriteLatencyMs","12","7629.167","11695.3","12088","91550",,
"2025-12-12","All","ParseDurationSeconds","12","10.279","13.813","14.067","123.351",,
"2025-12-12","All","RowsWritten","558",,,,"492","210","UniqueHosts=6"
"2025-12-12","All","SiteCacheFetchDurationMs","0","0","0","0","0",,"Statuses=SharedOnly=52,SkippedEmpty=506; Providers=Cache=168,SharedCache=52,Unknown=338; ZeroCount=558"
"2025-12-12","All","SkippedDuplicate","26",,,,"2",,"UniqueHosts=2"
"2025-12-12","All","UserAction","1",,,,,,"Action=LoadFromDb"
"2025-12-12","All","UserAction","2",,,,,,"Action=InterfacesView"
"2025-12-12","All","UserActionCoverage","2",,,,"6","ScanLogs,HelpQuickstart,CompareView,SpanSnapshot","Missing=ScanLogs,HelpQuickstart,CompareView,SpanSnapshot"
"2025-12-12","All","UserActionTotal","3",,,,,,
"2025-12-12","BOYO","DatabaseWriteLatencyMs","6","6847.833","9728","10018","41087",,
"2025-12-12","BOYO","ParseDurationSeconds","6","10.281","13.374","13.606","61.685",,
"2025-12-12","BOYO","RowsWritten","6",,,,"10",,"UniqueHosts=1"
"2025-12-12","BOYO","SiteCacheFetchDurationMs","0","0","0","0","0",,"Statuses=SharedOnly=5,SkippedEmpty=1; Providers=SharedCache=5,Unknown=1; ZeroCount=6"
"2025-12-12","BOYO","SkippedDuplicate","13",,,,"1",,"UniqueHosts=1"
"2025-12-12","BOYO","UserAction","2",,,,,,"Action=InterfacesView"
"2025-12-12","BOYO","UserAction","1",,,,,,"Action=LoadFromDb"
"2025-12-12","BOYO","UserActionCoverage","2",,,,"6","ScanLogs,HelpQuickstart,CompareView,SpanSnapshot","Missing=ScanLogs,HelpQuickstart,CompareView,SpanSnapshot"
"2025-12-12","BOYO","UserActionTotal","3",,,,,,
"2025-12-12","SW1","RowsWritten","126",,,,"126",,"UniqueHosts=1"
"2025-12-12","SW1","SiteCacheFetchDurationMs","0","0","0","0","0",,"Statuses=SkippedEmpty=126; Providers=Unknown=126; ZeroCount=126"
"2025-12-12","WLLS","DatabaseWriteLatencyMs","6","8410.5","11909.5","12088","50463",,
"2025-12-12","WLLS","ParseDurationSeconds","6","10.278","13.871","14.067","61.666",,
"2025-12-12","WLLS","RowsWritten","426",,,,"356","210","UniqueHosts=5"
"2025-12-12","WLLS","SiteCacheFetchDurationMs","0","0","0","0","0",,"Statuses=SharedOnly=47,SkippedEmpty=379; Providers=Cache=168,SharedCache=47,Unknown=211; ZeroCount=426"
"2025-12-12","WLLS","SkippedDuplicate","13",,,,"1",,"UniqueHosts=1"
"2025-12-13","All","RowsWritten","169",,,,"104","65","UniqueHosts=4"
"2025-12-13","All","SiteCacheFetchDurationMs","0","0","0","0","0",,"Statuses=SharedOnly=13,SkippedEmpty=156; Providers=Cache=52,SharedCache=13,Unknown=104; ZeroCount=169"
"2025-12-13","All","UserAction","7",,,,,,"Action=CompareView"
"2025-12-13","All","UserAction","2",,,,,,"Action=InterfacesView"
"2025-12-13","All","UserAction","1",,,,,,"Action=LoadFromDb"
"2025-12-13","All","UserActionCoverage","3",,,,"6","ScanLogs,HelpQuickstart,SpanSnapshot","Missing=ScanLogs,HelpQuickstart,SpanSnapshot"
"2025-12-13","All","UserActionTotal","10",,,,,,
"2025-12-13","BOYO","UserAction","4",,,,,,"Action=CompareView"
"2025-12-13","BOYO","UserAction","1",,,,,,"Action=InterfacesView"
"2025-12-13","BOYO","UserActionCoverage","2",,,,"6","ScanLogs,LoadFromDb,HelpQuickstart,SpanSnapshot","Missing=ScanLogs,LoadFromDb,HelpQuickstart,SpanSnapshot"
"2025-12-13","BOYO","UserActionTotal","5",,,,,,
"2025-12-13","SW1","RowsWritten","39",,,,"39",,"UniqueHosts=1"
"2025-12-13","SW1","SiteCacheFetchDurationMs","0","0","0","0","0",,"Statuses=SkippedEmpty=39; Providers=Unknown=39; ZeroCount=39"
"2025-12-13","SW1","UserAction","2",,,,,,"Action=CompareView"
"2025-12-13","SW1","UserActionCoverage","1",,,,"6","ScanLogs,LoadFromDb,HelpQuickstart,InterfacesView,SpanSnapshot","Missing=ScanLogs,LoadFromDb,HelpQuickstart,InterfacesView,SpanSnapshot"
"2025-12-13","SW1","UserActionTotal","2",,,,,,
"2025-12-13","WLLS","RowsWritten","130",,,,"65","65","UniqueHosts=4"
"2025-12-13","WLLS","SiteCacheFetchDurationMs","0","0","0","0","0",,"Statuses=SharedOnly=13,SkippedEmpty=117; Providers=Cache=52,SharedCache=13,Unknown=65; ZeroCount=130"
"2025-12-13","WLLS","UserAction","1",,,,,,"Action=InterfacesView"
"2025-12-13","WLLS","UserAction","1",,,,,,"Action=CompareView"
"2025-12-13","WLLS","UserActionCoverage","2",,,,"6","ScanLogs,LoadFromDb,HelpQuickstart,SpanSnapshot","Missing=ScanLogs,LoadFromDb,HelpQuickstart,SpanSnapshot"
"2025-12-13","WLLS","UserActionTotal","2",,,,,,
"2025-12-14","All","DatabaseWriteLatencyMs","5","1779.8","2528.2","2598","8899",,
"2025-12-14","All","ParseDurationSeconds","7","2.359","4.05","4.237","16.512",,"Failures=2"
"2025-12-14","All","RowsWritten","200",,,,"274","75","UniqueHosts=6"
"2025-12-14","All","SiteCacheFetchDurationMs","0","0","0","0","0",,"Statuses=SharedOnly=16,SkippedEmpty=184; Providers=Cache=60,SharedCache=16,Unknown=124; ZeroCount=200"
"2025-12-14","All","SkippedDuplicate","3",,,,"2",,"UniqueHosts=2"
"2025-12-14","All","UserAction","11",,,,,,"Action=InterfacesView"
"2025-12-14","All","UserAction","7",,,,,,"Action=LoadFromDb"
"2025-12-14","All","UserAction","73",,,,,,"Action=CompareView"
"2025-12-14","All","UserAction","3",,,,,,"Action=ScanLogs"
"2025-12-14","All","UserActionCoverage","4",,,,"6","HelpQuickstart,SpanSnapshot","Missing=HelpQuickstart,SpanSnapshot"
"2025-12-14","All","UserActionTotal","94",,,,,,
"2025-12-14","BOYO","DatabaseWriteLatencyMs","2","1806.5","2518.85","2598","3613",,
"2025-12-14","BOYO","ParseDurationSeconds","3","2.676","4.175","4.237","8.028",,"Failures=1"
"2025-12-14","BOYO","RowsWritten","2",,,,"10",,"UniqueHosts=1"
"2025-12-14","BOYO","SiteCacheFetchDurationMs","0","0","0","0","0",,"Statuses=SharedOnly=1,SkippedEmpty=1; Providers=SharedCache=1,Unknown=1; ZeroCount=2"
"2025-12-14","BOYO","SkippedDuplicate","1",,,,"1",,"UniqueHosts=1"
"2025-12-14","BOYO","UserAction","32",,,,,,"Action=CompareView"
"2025-12-14","BOYO","UserAction","8",,,,,,"Action=InterfacesView"
"2025-12-14","BOYO","UserActionCoverage","2",,,,"6","ScanLogs,LoadFromDb,HelpQuickstart,SpanSnapshot","Missing=ScanLogs,LoadFromDb,HelpQuickstart,SpanSnapshot"
"2025-12-14","BOYO","UserActionTotal","40",,,,,,
"2025-12-14","sw1","RowsWritten","45",,,,"45",,"UniqueHosts=1"
"2025-12-14","sw1","SiteCacheFetchDurationMs","0","0","0","0","0",,"Statuses=SkippedEmpty=45; Providers=Unknown=45; ZeroCount=45"
"2025-12-14","sw1","UserAction","32",,,,,,"Action=CompareView"
"2025-12-14","sw1","UserActionCoverage","1",,,,"6","ScanLogs,LoadFromDb,HelpQuickstart,InterfacesView,SpanSnapshot","Missing=ScanLogs,LoadFromDb,HelpQuickstart,InterfacesView,SpanSnapshot"
"2025-12-14","sw1","UserActionTotal","32",,,,,,
"2025-12-14","WLLS","DatabaseWriteLatencyMs","3","1762","2184","2249","5286",,
"2025-12-14","WLLS","ParseDurationSeconds","3","2.772","2.931","2.945","8.316",,
"2025-12-14","WLLS","RowsWritten","153",,,,"219","75","UniqueHosts=5"
"2025-12-14","WLLS","SiteCacheFetchDurationMs","0","0","0","0","0",,"Statuses=SharedOnly=15,SkippedEmpty=138; Providers=Cache=60,SharedCache=15,Unknown=78; ZeroCount=153"
"2025-12-14","WLLS","SkippedDuplicate","2",,,,"1",,"UniqueHosts=1"
"2025-12-14","WLLS","UserAction","9",,,,,,"Action=CompareView"
"2025-12-14","WLLS","UserAction","3",,,,,,"Action=InterfacesView"
