"ReportPath","GeneratedAtUtc","MetricsFile","EventCount","UniqueHosts","TotalPorts","PortsPerMinute","AvgPortsPerBatch","BatchIntervalP95","UiCloneP95","StreamDispatchP95","DiffDurationP95"
"C:\Users\Werem\AppData\Local\Temp\edc4a24b-eb0a-42ed-b812-251162770bb0\PortBatchReady-existing.json","1/1/2026 10:21:31 PM","C:\Users\Werem\AppData\Local\Temp\edc4a24b-eb0a-42ed-b812-251162770bb0\metrics-existing.json","1","1","5","","5","","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\edc4a24b-eb0a-42ed-b812-251162770bb0\PortBatchReady.json","1/1/2026 10:21:31 PM","C:\Users\Werem\AppData\Local\Temp\edc4a24b-eb0a-42ed-b812-251162770bb0\metrics.json","2","2","10","60","5","10000","1","1","1"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\PortBatchReady-smoke-20260101-152131.json","1/1/2026 10:21:32 PM","C:\Users\Werem\AppData\Local\Temp\edc4a24b-eb0a-42ed-b812-251162770bb0\metrics-missing-report.json","1","1","5","","5","","","",""
"C:\Users\Werem\AppData\Local\Temp\70ee221d-f223-4858-bd28-5bb1fa19442f\SyntheticOutput\Logs\Reports\SyntheticSmoke\Synthetic-5.1\PortBatchReady-smoke-20260101-152202.json","1/1/2026 10:22:02 PM","C:\Users\Werem\Projects\StateTrace\Tests\Fixtures\Synthetic\5.1\IngestionMetrics.json","4","4","20","400","5","1000","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\70ee221d-f223-4858-bd28-5bb1fa19442f\OutputRoot\Logs\Reports\PortBatchReady-smoke-20260101-152202.json","1/1/2026 10:22:02 PM","C:\Users\Werem\AppData\Local\Temp\70ee221d-f223-4858-bd28-5bb1fa19442f\metrics.json","1","1","5","","5","","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\2107c38d-beff-4463-b67c-bcfe8140d36c\PortBatchReady.json","1/1/2026 10:40:28 PM","C:\Users\Werem\AppData\Local\Temp\2107c38d-beff-4463-b67c-bcfe8140d36c\metrics.json","2","2","10","60","5","10000","1","1","1"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\PortBatchReady-smoke-20260101-154029.json","1/1/2026 10:40:29 PM","C:\Users\Werem\AppData\Local\Temp\2107c38d-beff-4463-b67c-bcfe8140d36c\metrics-missing-report.json","1","1","5","","5","","","",""
"C:\Users\Werem\AppData\Local\Temp\2107c38d-beff-4463-b67c-bcfe8140d36c\PortBatchReady-existing.json","1/1/2026 10:40:29 PM","C:\Users\Werem\AppData\Local\Temp\2107c38d-beff-4463-b67c-bcfe8140d36c\metrics-existing.json","1","1","5","","5","","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\45fb29f6-7aa5-498c-b004-56f8be1c95d3\SyntheticOutput\Logs\Reports\SyntheticSmoke\Synthetic-5.1\PortBatchReady-smoke-20260101-154102.json","1/1/2026 10:41:02 PM","C:\Users\Werem\Projects\StateTrace\Tests\Fixtures\Synthetic\5.1\IngestionMetrics.json","4","4","20","400","5","1000","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\45fb29f6-7aa5-498c-b004-56f8be1c95d3\OutputRoot\Logs\Reports\PortBatchReady-smoke-20260101-154102.json","1/1/2026 10:41:02 PM","C:\Users\Werem\AppData\Local\Temp\45fb29f6-7aa5-498c-b004-56f8be1c95d3\metrics.json","1","1","5","","5","","1","1","1"
