--- StateTrace diagnostic log ---
[2025-09-15 08:00:05.940] Logging to: C:\Users\Werem\OneDrive\Documents\StateTrace\Logs\StateTrace_Debug_20250915_080005.log
[2025-09-15 08:00:05.951] Host LanguageMode: FullLanguage
[2025-09-15 08:00:05.955] Default runspace LanguageMode: FullLanguage
[2025-09-15 08:00:05.957] Host keyword 'if' ok: True
[2025-09-15 08:00:10.579] Request-DeviceFilterUpdate suppressed (faulted or programmatic update)
[2025-09-15 08:00:10.587] Request-DeviceFilterUpdate suppressed (faulted or programmatic update)
[2025-09-15 08:00:10.591] Request-DeviceFilterUpdate suppressed (faulted or programmatic update)
[2025-09-15 08:00:12.276] Request-DeviceFilterUpdate suppressed (faulted or programmatic update)
[2025-09-15 08:00:12.280] Request-DeviceFilterUpdate suppressed (faulted or programmatic update)
[2025-09-15 08:00:19.387] Request-DeviceFilterUpdate suppressed (faulted or programmatic update)
[2025-09-15 08:00:19.392] Request-DeviceFilterUpdate suppressed (faulted or programmatic update)
[2025-09-15 08:00:19.396] Request-DeviceFilterUpdate suppressed (faulted or programmatic update)
[2025-09-15 08:00:19.400] Request-DeviceFilterUpdate suppressed (faulted or programmatic update)
[2025-09-15 08:00:19.404] Request-DeviceFilterUpdate suppressed (faulted or programmatic update)
[2025-09-15 08:00:19.409] Request-DeviceFilterUpdate suppressed (faulted or programmatic update)
[2025-09-15 08:00:19.523] Request-DeviceFilterUpdate suppressed (faulted or programmatic update)
[2025-09-15 08:00:25.668] Request-DeviceFilterUpdate suppressed (faulted or programmatic update)
[2025-09-15 08:00:25.770] Request-DeviceFilterUpdate suppressed (faulted or programmatic update)
[2025-09-15 08:00:25.815] Request-DeviceFilterUpdate suppressed (faulted or programmatic update)
[2025-09-15 08:00:25.848] Request-DeviceFilterUpdate suppressed (faulted or programmatic update)
[2025-09-15 08:00:25.853] Request-DeviceFilterUpdate suppressed (faulted or programmatic update)
[2025-09-15 08:00:25.953] Request-DeviceFilterUpdate suppressed (faulted or programmatic update)
[2025-09-15 08:00:46.010] Request-DeviceFilterUpdate suppressed (faulted or programmatic update)
[2025-09-15 08:00:46.017] Request-DeviceFilterUpdate suppressed (faulted or programmatic update)
[2025-09-15 08:00:46.022] Request-DeviceFilterUpdate suppressed (faulted or programmatic update)
[2025-09-15 08:00:46.026] Request-DeviceFilterUpdate suppressed (faulted or programmatic update)
[2025-09-15 08:00:46.106] Request-DeviceFilterUpdate suppressed (faulted or programmatic update)
[2025-09-15 08:00:52.463] Request-DeviceFilterUpdate suppressed (faulted or programmatic update)
[2025-09-15 08:00:52.473] Request-DeviceFilterUpdate suppressed (faulted or programmatic update)
[2025-09-15 08:00:52.486] Request-DeviceFilterUpdate suppressed (faulted or programmatic update)
[2025-09-15 08:00:52.507] Request-DeviceFilterUpdate suppressed (faulted or programmatic update)
[2025-09-15 08:00:52.531] Request-DeviceFilterUpdate suppressed (faulted or programmatic update)
