"Site","Hostname","DiffComparisonMs","DiffDurationMs","LoadExistingMs","RowSetCount","Provider","ProviderReason"
"WLLS","WLLS-A01-AS-51","0","17.553","0.018","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A01-AS-31","0","15.123","0.019","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A01-AS-01","0","23.527","0.019","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A01-AS-41","0","17.027","0.017","48","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-22","0","3.116","0.016","10","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A03-AS-53","0","16.299","0.017","48","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-02","0","5.047","0.014","10","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-12","0","3.089","0.014","10","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-32","0","3.071","0.012","10","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-15","0","3.104","0.014","10","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A01-AS-11","0","17.736","0.027","48","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-42","0","3.094","0.012","10","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A07-AS-07","0","17.491","0.018","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A05-AS-25","0","16.378","0.018","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A02-AS-02","0","18.864","0.017","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A02-AS-32","0","15.65","0.017","48","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-52","0","3.076","0.014","10","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-05","0","3.131","0.015","10","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A03-AS-43","0","16.094","0.017","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A05-AS-05","0","18.734","0.02","48","SharedCache","SharedCacheMatch"
