"ReportPath","GeneratedAtUtc","MetricsFile","EventCount","UniqueHosts","TotalPorts","PortsPerMinute","AvgPortsPerBatch","BatchIntervalP95","UiCloneP95","StreamDispatchP95","DiffDurationP95"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\PortBatchReady-20251222-183813.json","12/23/2025 1:40:05 AM","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\2025-12-22.json","1101","37","41078","72.471","37.31","2212.10335","90.67275","1.631","115.4115"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\PortBatchReady-20251222-210344.json","12/23/2025 4:06:59 AM","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\Run-20251222-210344\2025-12-22.json","24","24","1106","8102.531","46.083","414.58333","37.2745","0.3865","61.18625"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\PortBatchReady-20251223-085852.json","12/23/2025 4:11:45 PM","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\Run-20251223-085852\2025-12-23.json","4","4","116","12447.207","29","249.5872","","",""
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\PortBatchReady-20251223-103636.json","12/23/2025 5:36:54 PM","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\Run-20251223-103636\2025-12-23.json","10","10","290","11139.57","29","243.1711","","",""
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\PortBatchReady-2025-12-05.json","2025-12-06T01:23:46.7444802Z","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\2025-12-05.json","39","39","1278","1510.769","32.769","1764.787","240.749","27.407","38.078"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\PortBatchReady-2025-12-07.json","2025-12-07T11:42:34.1504239Z","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\2025-12-07.json","2","2","12","745.969","6.0","965.1873","45.962","16.27035","41.0596"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\PortBatchReady-2025-12-10.json","2025-12-10T19:32:28.6030609Z","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\2025-12-10.json","2","2","12","356.131","6.0","2021.7307","0.0","0.0","20.3922"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\PortBatchReady-2025-12-12.json","2025-12-12T21:52:55.9988534Z","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\2025-12-12.json","0","0","0","","","","0.0","0.0","11.84115"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\PortBatchReady-2025-12-20.json","2025-12-20T20:58:04.1107904Z","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\2025-12-20.json","0","0","0","","","","0.0","0.0","12.9495"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\PortBatchReady-2025-12-21.json","2025-12-21T13:55:45.0466870Z","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\2025-12-21.json","36","36","1310","1890.161","36.389","1626.22429","32.07105","0.50455","40.1222"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\PortBatchReady-2025-12-22.json","2025-12-22T14:13:11.9405432Z","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\2025-12-22.json","0","0","0","","","","","",""
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\PortBatchReady-2025-12-23.json","2025-12-23T19:23:08.9856383Z","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\2025-12-23.json","24","24","1106","8680.689","46.083","376.76497","33.7722","0.3483","57.1386"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\PortBatchReady-2025-12-24.json","2025-12-24T16:33:58.1528401Z","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\2025-12-24.json","0","0","0","","","","","",""
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\PortBatchReady-2025-12-26.json","2025-12-26T15:05:08.7351550Z","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\2025-12-26.json","0","0","0",,,,,,
