"ReportPath","GeneratedAtUtc","MetricsFile","EventCount","UiCloneP95","StreamDispatchP95","DiffDurationP95","SiteCacheUpdateP95","HottestSite","HottestSiteUiClone","HottestHost","HottestHostUiClone"
"C:\Users\Werem\AppData\Local\Temp\3a3f1ac4-1e31-44a1-b7aa-4521a1be11f3\InterfaceSyncTiming.json","12/26/2025 10:01:15 PM","C:\Users\Werem\AppData\Local\Temp\3a3f1ac4-1e31-44a1-b7aa-4521a1be11f3\metrics.json","2","1","1","1","2.95","BOYO","1","BOYO-A01-AS-01","1"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\InterfaceSyncTiming-smoke-20251226-154132.json","12/26/2025 10:41:44 PM","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\2025-12-26.json","1777","32.2368","0.392","45.3252","56.5088","WLLS","34.3708","WLLS-A01-AS-11","40.5876"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\InterfaceSyncTiming-smoke-20251226-154517.json","12/26/2025 10:45:36 PM","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\2025-12-26.json","1777","32.2368","0.392","45.3252","56.5088","WLLS","34.3708","WLLS-A01-AS-11","40.5876"
"C:\Users\Werem\AppData\Local\Temp\728b1c74-0055-4dbd-aa23-308d958ed7e7\InterfaceSyncTiming-existing.json","12/26/2025 10:46:49 PM","C:\Users\Werem\AppData\Local\Temp\728b1c74-0055-4dbd-aa23-308d958ed7e7\metrics-existing.json","1","1","1","1","2","BOYO","1","BOYO-A01-AS-01","1"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\InterfaceSyncTiming-smoke-20251226-154649.json","12/26/2025 10:46:49 PM","C:\Users\Werem\AppData\Local\Temp\728b1c74-0055-4dbd-aa23-308d958ed7e7\metrics-missing-report.json","0","","","","","","","",""
"C:\Users\Werem\AppData\Local\Temp\728b1c74-0055-4dbd-aa23-308d958ed7e7\InterfaceSyncTiming.json","12/26/2025 10:46:49 PM","C:\Users\Werem\AppData\Local\Temp\728b1c74-0055-4dbd-aa23-308d958ed7e7\metrics.json","2","1","1","1","2.95","BOYO","1","BOYO-A01-AS-01","1"
"C:\Users\Werem\AppData\Local\Temp\HarnessSmokeExistingTest\sync.json","12/26/2025 10:51:32 PM","C:\Users\Werem\AppData\Local\Temp\HarnessSmokeExistingTest\metrics.json","1","1","1","1","2","BOYO","1","BOYO-A01-AS-01","1"
"C:\Users\Werem\AppData\Local\Temp\8eef81fe-8302-41bb-bfb7-2da8c48b60b9\InterfaceSyncTiming-existing.json","12/26/2025 10:54:44 PM","C:\Users\Werem\AppData\Local\Temp\8eef81fe-8302-41bb-bfb7-2da8c48b60b9\metrics-existing.json","1","1","1","1","2","BOYO","1","BOYO-A01-AS-01","1"
"C:\Users\Werem\AppData\Local\Temp\8eef81fe-8302-41bb-bfb7-2da8c48b60b9\InterfaceSyncTiming.json","12/26/2025 10:54:44 PM","C:\Users\Werem\AppData\Local\Temp\8eef81fe-8302-41bb-bfb7-2da8c48b60b9\metrics.json","2","1","1","1","2.95","BOYO","1","BOYO-A01-AS-01","1"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\InterfaceSyncTiming-smoke-20251226-155444.json","12/26/2025 10:54:44 PM","C:\Users\Werem\AppData\Local\Temp\8eef81fe-8302-41bb-bfb7-2da8c48b60b9\metrics-missing-report.json","0","","","","","","","",""
"C:\Users\Werem\AppData\Local\Temp\f9fcb279-9d9f-4e2e-89cd-6ab7794c9210\OutputRoot\Logs\Reports\InterfaceSyncTiming-smoke-20251226-155702.json","12/26/2025 10:57:03 PM","C:\Users\Werem\AppData\Local\Temp\f9fcb279-9d9f-4e2e-89cd-6ab7794c9210\metrics.json","1","1","1","1","2","BOYO","1","BOYO-A01-AS-01","1"
"C:\Users\Werem\AppData\Local\Temp\aecbd8a4-cd49-453c-a8f0-0a3055f7b965\OutputRoot\Logs\Reports\InterfaceSyncTiming-smoke-20251226-155916.json","12/26/2025 10:59:17 PM","C:\Users\Werem\AppData\Local\Temp\aecbd8a4-cd49-453c-a8f0-0a3055f7b965\metrics.json","1","1","1","1","2","BOYO","1","BOYO-A01-AS-01","1"
"C:\Users\Werem\AppData\Local\Temp\6a917435-853d-4d6d-b45a-0fb47eb058c0\OutputRoot\Logs\Reports\InterfaceSyncTiming-smoke-20251226-160029.json","12/26/2025 11:00:29 PM","C:\Users\Werem\AppData\Local\Temp\6a917435-853d-4d6d-b45a-0fb47eb058c0\metrics.json","1","1","1","1","2","BOYO","1","BOYO-A01-AS-01","1"
"C:\Users\Werem\AppData\Local\Temp\45aeb8e0-071a-4c14-b652-c3af4390e66b\InterfaceSyncTiming.json","12/26/2025 11:01:24 PM","C:\Users\Werem\AppData\Local\Temp\45aeb8e0-071a-4c14-b652-c3af4390e66b\metrics.json","2","1","1","1","2.95","BOYO","1","BOYO-A01-AS-01","1"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\InterfaceSyncTiming-smoke-20251226-160125.json","12/26/2025 11:01:25 PM","C:\Users\Werem\AppData\Local\Temp\45aeb8e0-071a-4c14-b652-c3af4390e66b\metrics-missing-report.json","0","","","","","","","",""
"C:\Users\Werem\AppData\Local\Temp\45aeb8e0-071a-4c14-b652-c3af4390e66b\InterfaceSyncTiming-existing.json","12/26/2025 11:01:25 PM","C:\Users\Werem\AppData\Local\Temp\45aeb8e0-071a-4c14-b652-c3af4390e66b\metrics-existing.json","1","1","1","1","2","BOYO","1","BOYO-A01-AS-01","1"
"C:\Users\Werem\AppData\Local\Temp\e88605b3-4e7f-411d-b207-2ef3b0f22e67\OutputRoot\Logs\Reports\InterfaceSyncTiming-smoke-20251226-160251.json","12/26/2025 11:02:51 PM","C:\Users\Werem\AppData\Local\Temp\e88605b3-4e7f-411d-b207-2ef3b0f22e67\metrics.json","1","1","1","1","2","BOYO","1","BOYO-A01-AS-01","1"
