"ReportPath","GeneratedAtUtc","MetricsFile","EventCount","UniqueHosts","TotalPorts","PortsPerMinute","AvgPortsPerBatch","BatchIntervalP95","UiCloneP95","StreamDispatchP95","DiffDurationP95"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\PortBatchReady-20251222-183813.json","12/23/2025 1:40:05 AM","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\2025-12-22.json","1101","37","41078","72.471","37.31","2212.10335","90.67275","1.631","115.4115"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\PortBatchReady-20251222-210344.json","12/23/2025 4:06:59 AM","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\Run-20251222-210344\2025-12-22.json","24","24","1106","8102.531","46.083","414.58333","37.2745","0.3865","61.18625"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\PortBatchReady-20251223-085852.json","12/23/2025 4:11:45 PM","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\Run-20251223-085852\2025-12-23.json","4","4","116","12447.207","29","249.5872","","",""
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\PortBatchReady-20251223-103636.json","12/23/2025 5:36:54 PM","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\Run-20251223-103636\2025-12-23.json","10","10","290","11139.57","29","243.1711","","",""
"C:\Users\Werem\AppData\Local\Temp\3a3f1ac4-1e31-44a1-b7aa-4521a1be11f3\PortBatchReady.json","12/26/2025 10:01:15 PM","C:\Users\Werem\AppData\Local\Temp\3a3f1ac4-1e31-44a1-b7aa-4521a1be11f3\metrics.json","2","2","10","60","5","10000","1","1","1"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\PortBatchReady-smoke-20251226-154132.json","12/26/2025 10:41:42 PM","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\2025-12-26.json","3663","37","115714","418.549","31.59","88960.80248","32.2368","0.392","45.3252"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\PortBatchReady-smoke-20251226-154517.json","12/26/2025 10:45:32 PM","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\2025-12-26.json","3663","37","115714","418.549","31.59","88960.80248","32.2368","0.392","45.3252"
"C:\Users\Werem\AppData\Local\Temp\728b1c74-0055-4dbd-aa23-308d958ed7e7\PortBatchReady.json","12/26/2025 10:46:49 PM","C:\Users\Werem\AppData\Local\Temp\728b1c74-0055-4dbd-aa23-308d958ed7e7\metrics.json","2","2","10","60","5","10000","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\728b1c74-0055-4dbd-aa23-308d958ed7e7\PortBatchReady-existing.json","12/26/2025 10:46:49 PM","C:\Users\Werem\AppData\Local\Temp\728b1c74-0055-4dbd-aa23-308d958ed7e7\metrics-existing.json","1","1","5","","5","","1","1","1"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\PortBatchReady-smoke-20251226-154649.json","12/26/2025 10:46:49 PM","C:\Users\Werem\AppData\Local\Temp\728b1c74-0055-4dbd-aa23-308d958ed7e7\metrics-missing-report.json","1","1","5","","5","","","",""
"C:\Users\Werem\AppData\Local\Temp\HarnessSmokeExistingTest\batch.json","12/26/2025 10:51:31 PM","C:\Users\Werem\AppData\Local\Temp\HarnessSmokeExistingTest\metrics.json","1","1","5","","5","","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\8eef81fe-8302-41bb-bfb7-2da8c48b60b9\PortBatchReady-existing.json","12/26/2025 10:54:44 PM","C:\Users\Werem\AppData\Local\Temp\8eef81fe-8302-41bb-bfb7-2da8c48b60b9\metrics-existing.json","1","1","5","","5","","1","1","1"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\PortBatchReady-smoke-20251226-155444.json","12/26/2025 10:54:44 PM","C:\Users\Werem\AppData\Local\Temp\8eef81fe-8302-41bb-bfb7-2da8c48b60b9\metrics-missing-report.json","1","1","5","","5","","","",""
"C:\Users\Werem\AppData\Local\Temp\8eef81fe-8302-41bb-bfb7-2da8c48b60b9\PortBatchReady.json","12/26/2025 10:54:44 PM","C:\Users\Werem\AppData\Local\Temp\8eef81fe-8302-41bb-bfb7-2da8c48b60b9\metrics.json","2","2","10","60","5","10000","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\f9fcb279-9d9f-4e2e-89cd-6ab7794c9210\OutputRoot\Logs\Reports\PortBatchReady-smoke-20251226-155702.json","12/26/2025 10:57:02 PM","C:\Users\Werem\AppData\Local\Temp\f9fcb279-9d9f-4e2e-89cd-6ab7794c9210\metrics.json","1","1","5","","5","","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\aecbd8a4-cd49-453c-a8f0-0a3055f7b965\OutputRoot\Logs\Reports\PortBatchReady-smoke-20251226-155916.json","12/26/2025 10:59:17 PM","C:\Users\Werem\AppData\Local\Temp\aecbd8a4-cd49-453c-a8f0-0a3055f7b965\metrics.json","1","1","5","","5","","1","1","1"
