"GeneratedAtUtc","SourceTelemetryPath","SummaryPath","SampleCount","AverageQueueDelayMs","QueueDelayP95Ms","QueueDelayP99Ms","Pass"
"12/06/2025 01:23:46","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\2025-12-05.json","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\QueueDelaySummary-2025-12-05.json","3","1.086","2.9322","3.19284","True"
"12/10/2025 19:32:25","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\2025-12-10.json","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\QueueDelaySummary-2025-12-10.json","2","1.001","1.9019","1.98198","True"
"12/12/2025 21:52:55","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\2025-12-12.json","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\QueueDelaySummary-2025-12-12.json","1","0.994","0.994","0.994","True"
"12/21/2025 05:24:35","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\2025-12-20.json","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\QueueDelaySummary-2025-12-20.json","8","4.264","12.4317","16.65354","True"
"12/22/2025 15:34:40","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\2025-12-22.json","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\QueueDelaySummary-2025-12-22.json","20","20.65275","25.59845","33.57009","True"
"12/23/2025 19:40:54","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\2025-12-23.json","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\QueueDelaySummary-2025-12-23.json","4","18.0035","18.8521","18.97042","True"
"2025-12-24T16:33:58.0590384Z","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\2025-12-24.json","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\QueueDelaySummary-2025-12-24.json","4","17.6235","18.00085","18.00097","True"
"12/26/2025 16:34:23","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\2025-12-26.json","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\QueueDelaySummary-2025-12-26.json","12","2.57925","6.57025","11.11325","True"
"12/26/2025 21:52:58","C:\Users\Werem\AppData\Local\Temp\b26d0525-c053-4f3d-8c92-0147b8c20aaf\metrics.json","C:\Users\Werem\AppData\Local\Temp\b26d0525-c053-4f3d-8c92-0147b8c20aaf\QueueDelaySummary.json","10","10","10","10","True"
"12/26/2025 21:56:12","C:\Users\Werem\AppData\Local\Temp\642852b7-bcd4-46ae-81b8-b5d2e689f0bb\metrics.json","C:\Users\Werem\AppData\Local\Temp\642852b7-bcd4-46ae-81b8-b5d2e689f0bb\QueueDelaySummary.json","10","10","10","10","True"
"12/26/2025 22:01:15","C:\Users\Werem\AppData\Local\Temp\3a3f1ac4-1e31-44a1-b7aa-4521a1be11f3\metrics.json","C:\Users\Werem\AppData\Local\Temp\3a3f1ac4-1e31-44a1-b7aa-4521a1be11f3\QueueDelaySummary.json","10","10","10","10","True"
"12/26/2025 22:46:49","C:\Users\Werem\AppData\Local\Temp\728b1c74-0055-4dbd-aa23-308d958ed7e7\metrics.json","C:\Users\Werem\AppData\Local\Temp\728b1c74-0055-4dbd-aa23-308d958ed7e7\QueueDelaySummary.json","10","10","10","10","True"
"12/26/2025 22:46:49","C:\Users\Werem\AppData\Local\Temp\728b1c74-0055-4dbd-aa23-308d958ed7e7\metrics-existing.json","C:\Users\Werem\AppData\Local\Temp\728b1c74-0055-4dbd-aa23-308d958ed7e7\QueueDelaySummary-existing.json","10","10","10","10","True"
"12/26/2025 22:46:49","C:\Users\Werem\AppData\Local\Temp\728b1c74-0055-4dbd-aa23-308d958ed7e7\metrics-missing-report.json","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\QueueDelaySummary-smoke-20251226-154649.json","10","10","10","10","True"
"12/26/2025 22:51:31","C:\Users\Werem\AppData\Local\Temp\HarnessSmokeExistingTest\metrics.json","C:\Users\Werem\AppData\Local\Temp\HarnessSmokeExistingTest\queue.json","10","10","10","10","True"
"12/26/2025 22:54:43","C:\Users\Werem\AppData\Local\Temp\8eef81fe-8302-41bb-bfb7-2da8c48b60b9\metrics.json","C:\Users\Werem\AppData\Local\Temp\8eef81fe-8302-41bb-bfb7-2da8c48b60b9\QueueDelaySummary.json","10","10","10","10","True"
