"Site","Hostname","DiffComparisonMs","DiffDurationMs","LoadExistingMs","RowSetCount","Provider","ProviderReason"
"WLLS","WLLS-A01-AS-21","0","16.841","0.024","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A03-AS-53","0","17.257","0.019","48","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-15","0","4.075","0.014","10","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A02-AS-32","0","19.174","0.024","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A05-AS-45","0","16.617","0.023","48","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-22","0","3.402","0.015","10","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A05-AS-25","0","18.226","0.021","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A03-AS-03","0","16.689","0.023","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A03-AS-13","0","16.681","0.024","48","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-25","0","3.244","0.015","10","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A05-AS-55","0","20.32","0.026","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A02-AS-12","0","19.667","0.022","48","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-05","0","3.232","0.014","10","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A07-AS-07","0","18.622","0.023","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A01-AS-01","0","26.661","0.024","48","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-42","0","3.215","0.016","10","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A03-AS-43","0","17.144","0.021","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A03-AS-33","0","16.177","0.019","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A05-AS-05","0","19.44","0.023","48","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-55","0","3.256","0.015","10","SharedCache","SharedCacheMatch"
