path,ext,size_bytes
StateTrace/.git/.COMMIT_EDITMSG.swp,.swp,12288
StateTrace/.git/COMMIT_EDITMSG,,8
StateTrace/.git/FETCH_HEAD,,105
StateTrace/.git/HEAD,,21
StateTrace/.git/ORIG_HEAD,,41
StateTrace/.git/config,,308
StateTrace/.git/description,,73
StateTrace/.git/hooks/applypatch-msg.sample,.sample,478
StateTrace/.git/hooks/commit-msg.sample,.sample,896
StateTrace/.git/hooks/fsmonitor-watchman.sample,.sample,4726
StateTrace/.git/hooks/post-update.sample,.sample,189
StateTrace/.git/hooks/pre-applypatch.sample,.sample,424
StateTrace/.git/hooks/pre-commit.sample,.sample,1643
StateTrace/.git/hooks/pre-merge-commit.sample,.sample,416
StateTrace/.git/hooks/pre-push.sample,.sample,1374
StateTrace/.git/hooks/pre-rebase.sample,.sample,4898
StateTrace/.git/hooks/pre-receive.sample,.sample,544
StateTrace/.git/hooks/prepare-commit-msg.sample,.sample,1492
StateTrace/.git/hooks/push-to-checkout.sample,.sample,2783
StateTrace/.git/hooks/sendemail-validate.sample,.sample,2308
StateTrace/.git/hooks/update.sample,.sample,3650
StateTrace/.git/index,,2708
StateTrace/.git/info/exclude,,240
StateTrace/.git/logs/HEAD,,3673
StateTrace/.git/logs/refs/heads/main,,3152
StateTrace/.git/logs/refs/remotes/origin/main,,2472
StateTrace/.git/objects/03/a5f88901e06497ea1d4b55c0f5dacbf5ba1b14,,206
StateTrace/.git/objects/05/9e3a02252cddbbbe4feaa36f1e33e1a10c69c9,,638
StateTrace/.git/objects/0b/4e50a551932523474860a2a47a587ae91506ca,,179
StateTrace/.git/objects/0b/73715cb427466ce53427cd94182ec0d1a32e1d,,205
StateTrace/.git/objects/0b/9c483b3a6c2cc07f5e39c53f8a3799bb034239,,244
StateTrace/.git/objects/0c/417e8e020abb018871b74c4f882592c9fb30aa,,95
StateTrace/.git/objects/10/bdeda69e7c25719c3b58359cc649337d4f0780,,2036
StateTrace/.git/objects/11/95022276376a2d9e0c6d15d87de36af23c83f9,,312
StateTrace/.git/objects/15/0dc9c323b9762913b9bd7b4858c2f651b41d38,,6865
StateTrace/.git/objects/15/825b9b5a054bf2d717bd9001754bc6caba720b,,96
StateTrace/.git/objects/15/e0d94daf2d6876432b84fd333accacb7ba5cce,,193
StateTrace/.git/objects/16/ab386fb45495b595a969035da7fbe58fbca512,,399
StateTrace/.git/objects/17/26406a12fe450ebe9612709ea592cc8e728a04,,25602
StateTrace/.git/objects/18/5bbff244a31c58633849cd90d3faf2baaec48f,,3553
StateTrace/.git/objects/18/84ed41eb4bc29323e90195e521aed52109ffad,,106
StateTrace/.git/objects/1a/102e697a39ff0cf8bddb0a4ceecf66437619fe,,575
StateTrace/.git/objects/1a/a9ad1dd441d2078b3dbc02e97a1a969d7ec3e3,,2584
StateTrace/.git/objects/21/4504bdb88770f9a51118cc49f3f550eaaee912,,538
StateTrace/.git/objects/22/42239248d278d97598acda4102946e2e373c84,,245
